Original Id,Duplicate Id
RI-1612545786581,RI-1612546480365
RI-1612545786581,RI-1612547835836
RI-1612545786581,RI-1612549938800
RI-1612545786581,RI-1612557056480
RI-1612719944775,RI-1612720787998
RI-1612719944775,RI-1612720983737
RI-1612719944775,RI-1612721597093
RI-1612719944775,RI-1612721763631
RI-1612719944775,RI-1612722429215
RI-1612719944775,RI-1612724183816
RI-1612719944775,RI-1612725020421
RI-1612925824625,RI-1612926184808
RI-1612880880160,RI-1613602719724
RI-1614002436582,RI-1614002587819
RI-1614002436582,RI-1614002969386
RI-1612925824625,RI-1614036476596
RI-1614094351070,RI-1614094357953
RI-1612898799589,RI-1614100260319
RI-1614120694183,RI-1614120918109
RI-1614127739539,RI-1614127741447
RI-6f06fa77_b05d_40b1_aa6b_e18b7f6caf19,RI-1614190693397
RI-1614332221077,RI-1614332268504
RI-1614519875310,RI-1614520168085
RI-1614610127460,RI-1614610195115
RI-1612794289059,RI-1614624481137
RI-1614693355628,RI-1614693541526
RI-04d537a6_f384_4ef2_946e_360464571f22,RI-1614885337992
RI-04d537a6_f384_4ef2_946e_360464571f22,RI-1614884973346
RI-7d667271_0ce6_4f13_86d9_e179148f0f32,RI-1615135461570
RI-7d667271_0ce6_4f13_86d9_e179148f0f32,RI-1615135468249
RI-7d667271_0ce6_4f13_86d9_e179148f0f32,RI-1615135627663
RI-1612726140736,RI-1615231159003
RI-89eeac6d_9861_48ff_848d_d43faa2f6860,RI-1615304284053
RI-1612925824625,RI-1615315160042
RI-1612892699150,RI-1615326279487
RI-44b14fab_8673_4c33_8e99_5526fbfa5c16,RI-1615551140454
RI-236e63b6_c57a_4cb7_97ec_19258ef67d27,RI-1614027477766
RI-d2e9355b_2230_4870_a462_5b287174c52e,RI-1615905193891
RI-1615985709157,RI-1615985740504
RI-89eeac6d_9861_48ff_848d_d43faa2f6860,RI-1615990846122
RI-d2e9355b_2230_4870_a462_5b287174c52e,RI-1616064217385
